%frequency	 %AdV2017-WB	 %AdV2019-WB
   1.2972918e+01   3.8499196e-22   3.8687209e-22
   1.3002834e+01   3.8149322e-22   3.8337290e-22
   1.3032818e+01   3.7802804e-22   3.7990727e-22
   1.3062872e+01   3.7459614e-22   3.7647491e-22
   1.3092995e+01   3.7119725e-22   3.7307555e-22
   1.3123188e+01   3.6783109e-22   3.6970890e-22
   1.3153450e+01   3.6449739e-22   3.6637470e-22
   1.3183782e+01   3.6119589e-22   3.6307269e-22
   1.3214184e+01   3.5792632e-22   3.5980260e-22
   1.3244656e+01   3.5468844e-22   3.5656418e-22
   1.3275198e+01   3.5148198e-22   3.5335717e-22
   1.3305811e+01   3.4830670e-22   3.5018132e-22
   1.3336494e+01   3.4516236e-22   3.4703640e-22
   1.3367248e+01   3.4204872e-22   3.4392217e-22
   1.3398073e+01   3.3896555e-22   3.4083838e-22
   1.3428969e+01   3.3591261e-22   3.3778482e-22
   1.3459937e+01   3.3288969e-22   3.3476125e-22
   1.3490975e+01   3.2989657e-22   3.3176747e-22
   1.3522086e+01   3.2693303e-22   3.2880325e-22
   1.3553268e+01   3.2399887e-22   3.2586839e-22
   1.3584522e+01   3.2109388e-22   3.2296268e-22
   1.3615848e+01   3.1821787e-22   3.2008593e-22
   1.3647246e+01   3.1537065e-22   3.1723795e-22
   1.3678716e+01   3.1255203e-22   3.1441855e-22
   1.3710260e+01   3.0976184e-22   3.1162756e-22
   1.3741876e+01   3.0699990e-22   3.0886479e-22
   1.3773565e+01   3.0426604e-22   3.0613009e-22
   1.3805326e+01   3.0156012e-22   3.0342329e-22
   1.3837162e+01   2.9888198e-22   3.0074425e-22
   1.3869070e+01   2.9623148e-22   2.9809282e-22
   1.3901052e+01   2.9360848e-22   2.9546887e-22
   1.3933108e+01   2.9101285e-22   2.9287226e-22
   1.3965238e+01   2.8844449e-22   2.9030288e-22
   1.3997442e+01   2.8590327e-22   2.8776062e-22
   1.4029720e+01   2.8338911e-22   2.8524538e-22
   1.4062073e+01   2.8090191e-22   2.8275706e-22
   1.4094500e+01   2.7844160e-22   2.8029560e-22
   1.4127002e+01   2.7600811e-22   2.7786092e-22
   1.4159579e+01   2.7360138e-22   2.7545297e-22
   1.4192231e+01   2.7122139e-22   2.7307170e-22
   1.4224959e+01   2.6886809e-22   2.7071709e-22
   1.4257762e+01   2.6654148e-22   2.6838912e-22
   1.4290640e+01   2.6424156e-22   2.6608780e-22
   1.4323594e+01   2.6196836e-22   2.6381314e-22
   1.4356625e+01   2.5972191e-22   2.6156518e-22
   1.4389731e+01   2.5750227e-22   2.5934397e-22
   1.4422914e+01   2.5530952e-22   2.5714960e-22
   1.4456173e+01   2.5314377e-22   2.5498216e-22
   1.4489510e+01   2.5100514e-22   2.5284177e-22
   1.4522922e+01   2.4889379e-22   2.5072860e-22
   1.4556412e+01   2.4680989e-22   2.4864280e-22
   1.4589980e+01   2.4475366e-22   2.4658460e-22
   1.4623624e+01   2.4272536e-22   2.4455424e-22
   1.4657346e+01   2.4072526e-22   2.4255200e-22
   1.4691146e+01   2.3875370e-22   2.4057820e-22
   1.4725024e+01   2.3681104e-22   2.3863320e-22
   1.4758980e+01   2.3489770e-22   2.3671742e-22
   1.4793015e+01   2.3301415e-22   2.3483132e-22
   1.4827127e+01   2.3116093e-22   2.3297543e-22
   1.4861319e+01   2.2933864e-22   2.3115034e-22
   1.4895589e+01   2.2754793e-22   2.2935670e-22
   1.4929939e+01   2.2578957e-22   2.2759526e-22
   1.4964367e+01   2.2406438e-22   2.2586683e-22
   1.4998875e+01   2.2237330e-22   2.2417235e-22
   1.5033463e+01   2.2071737e-22   2.2251285e-22
   1.5068130e+01   2.1909776e-22   2.2088947e-22
   1.5102877e+01   2.1751577e-22   2.1930350e-22
   1.5137704e+01   2.1597284e-22   2.1775638e-22
   1.5172612e+01   2.1447062e-22   2.1624971e-22
   1.5207600e+01   2.1301090e-22   2.1478530e-22
   1.5242669e+01   2.1159573e-22   2.1336516e-22
   1.5277819e+01   2.1022740e-22   2.1199155e-22
   1.5313050e+01   2.0890846e-22   2.1066701e-22
   1.5348362e+01   2.0764179e-22   2.0939438e-22
   1.5383755e+01   2.0643064e-22   2.0817689e-22
   1.5419230e+01   2.0527868e-22   2.0701817e-22
   1.5454787e+01   2.0419004e-22   2.0592231e-22
   1.5490426e+01   2.0316941e-22   2.0489397e-22
   1.5526147e+01   2.0222213e-22   2.0393842e-22
   1.5561950e+01   2.0135426e-22   2.0306169e-22
   1.5597836e+01   2.0057272e-22   2.0227065e-22
   1.5633805e+01   1.9988545e-22   2.0157315e-22
   1.5669857e+01   1.9930156e-22   2.0097825e-22
   1.5705991e+01   1.9883154e-22   2.0049636e-22
   1.5742210e+01   1.9848753e-22   2.0013953e-22
   1.5778511e+01   1.9828363e-22   1.9992175e-22
   1.5814897e+01   1.9823627e-22   1.9985936e-22
   1.5851366e+01   1.9836468e-22   1.9997145e-22
   1.5887919e+01   1.9869147e-22   2.0028051e-22
   1.5924557e+01   1.9924338e-22   2.0081312e-22
   1.5961279e+01   2.0005218e-22   2.0160089e-22
   1.5998086e+01   2.0115585e-22   2.0268160e-22
   1.6034978e+01   2.0260007e-22   2.0410073e-22
   1.6071954e+01   2.0444016e-22   2.0591338e-22
   1.6109016e+01   2.0674363e-22   2.0818680e-22
   1.6146164e+01   2.0959356e-22   2.1100379e-22
   1.6183397e+01   2.1309308e-22   2.1446719e-22
   1.6220716e+01   2.1737156e-22   2.1870606e-22
   1.6258121e+01   2.2259316e-22   2.2388422e-22
   1.6295613e+01   2.2896888e-22   2.3021230e-22
   1.6333190e+01   2.3677395e-22   2.3796521e-22
   1.6370855e+01   2.4637363e-22   2.4750785e-22
   1.6408606e+01   2.5826241e-22   2.5933438e-22
   1.6446445e+01   2.7312562e-22   2.7412987e-22
   1.6484370e+01   2.9194027e-22   2.9287110e-22
   1.6522383e+01   3.1614746e-22   3.1699905e-22
   1.6560484e+01   3.4796408e-22   3.4873064e-22
   1.6598673e+01   3.9098584e-22   3.9166171e-22
   1.6636949e+01   4.5145813e-22   4.5203803e-22
   1.6675314e+01   5.4127389e-22   5.4175306e-22
   1.6713768e+01   6.8623831e-22   6.8661272e-22
