%frequency	 %AdV2015	 %AdV2017	 %AdV2019
   1.2162654e+01   5.0955233e-22   4.9792689e-22   5.0470941e-22
   1.2190701e+01   5.0497415e-22   4.9335615e-22   5.0013650e-22
   1.2218813e+01   5.0043903e-22   4.8882855e-22   4.9560669e-22
   1.2246989e+01   4.9594660e-22   4.8434370e-22   4.9111960e-22
   1.2275231e+01   4.9149644e-22   4.7990119e-22   4.8667483e-22
   1.2303538e+01   4.8708818e-22   4.7550064e-22   4.8227199e-22
   1.2331910e+01   4.8272142e-22   4.7114166e-22   4.7791068e-22
   1.2360347e+01   4.7839578e-22   4.6682388e-22   4.7359054e-22
   1.2388850e+01   4.7411088e-22   4.6254690e-22   4.6931118e-22
   1.2417419e+01   4.6986636e-22   4.5831037e-22   4.6507223e-22
   1.2446054e+01   4.6566183e-22   4.5411390e-22   4.6087332e-22
   1.2474755e+01   4.6149694e-22   4.4995714e-22   4.5671408e-22
   1.2503521e+01   4.5737132e-22   4.4583973e-22   4.5259416e-22
   1.2532355e+01   4.5328462e-22   4.4176131e-22   4.4851319e-22
   1.2561254e+01   4.4923648e-22   4.3772152e-22   4.4447082e-22
   1.2590221e+01   4.4522656e-22   4.3372002e-22   4.4046671e-22
   1.2619254e+01   4.4125451e-22   4.2975647e-22   4.3650051e-22
   1.2648354e+01   4.3731998e-22   4.2583052e-22   4.3257188e-22
   1.2677521e+01   4.3342265e-22   4.2194185e-22   4.2868048e-22
   1.2706756e+01   4.2956218e-22   4.1809011e-22   4.2482599e-22
   1.2736058e+01   4.2573824e-22   4.1427498e-22   4.2100807e-22
   1.2765427e+01   4.2195051e-22   4.1049614e-22   4.1722640e-22
   1.2794864e+01   4.1819867e-22   4.0675327e-22   4.1348066e-22
   1.2824369e+01   4.1448240e-22   4.0304605e-22   4.0977054e-22
   1.2853942e+01   4.1080138e-22   3.9937417e-22   4.0609571e-22
   1.2883584e+01   4.0715532e-22   3.9573732e-22   4.0245589e-22
   1.2913293e+01   4.0354390e-22   3.9213521e-22   3.9885075e-22
   1.2943071e+01   3.9996683e-22   3.8856753e-22   3.9528000e-22
   1.2972918e+01   3.9642381e-22   3.8503399e-22   3.9174335e-22
   1.3002834e+01   3.9291455e-22   3.8153430e-22   3.8824050e-22
   1.3032818e+01   3.8943876e-22   3.7806817e-22   3.8477117e-22
   1.3062872e+01   3.8599615e-22   3.7463532e-22   3.8133507e-22
   1.3092995e+01   3.8258645e-22   3.7123547e-22   3.7793193e-22
   1.3123188e+01   3.7920938e-22   3.6786834e-22   3.7456147e-22
   1.3153450e+01   3.7586467e-22   3.6453367e-22   3.7122341e-22
   1.3183782e+01   3.7255206e-22   3.6123120e-22   3.6791750e-22
   1.3214184e+01   3.6927127e-22   3.5796066e-22   3.6464347e-22
   1.3244656e+01   3.6602206e-22   3.5472179e-22   3.6140106e-22
   1.3275198e+01   3.6280417e-22   3.5151434e-22   3.5819002e-22
   1.3305811e+01   3.5961734e-22   3.4833808e-22   3.5501010e-22
   1.3336494e+01   3.5646133e-22   3.4519274e-22   3.5186105e-22
   1.3367248e+01   3.5333591e-22   3.4207810e-22   3.4874265e-22
   1.3398073e+01   3.5024084e-22   3.3899392e-22   3.4565464e-22
   1.3428969e+01   3.4717588e-22   3.3593998e-22   3.4259681e-22
   1.3459937e+01   3.4414081e-22   3.3291605e-22   3.3956893e-22
   1.3490975e+01   3.4113541e-22   3.2992191e-22   3.3657077e-22
   1.3522086e+01   3.3815947e-22   3.2695734e-22   3.3360212e-22
   1.3553268e+01   3.3521276e-22   3.2402215e-22   3.3066278e-22
   1.3584522e+01   3.3229509e-22   3.2111613e-22   3.2775254e-22
   1.3615848e+01   3.2940626e-22   3.1823909e-22   3.2487119e-22
   1.3647246e+01   3.2654607e-22   3.1539082e-22   3.2201855e-22
   1.3678716e+01   3.2371433e-22   3.1257116e-22   3.1919443e-22
   1.3710260e+01   3.2091087e-22   3.0977992e-22   3.1639865e-22
   1.3741876e+01   3.1813550e-22   3.0701692e-22   3.1363104e-22
   1.3773565e+01   3.1538806e-22   3.0428201e-22   3.1089142e-22
   1.3805326e+01   3.1266838e-22   3.0157503e-22   3.0817964e-22
   1.3837162e+01   3.0997630e-22   2.9889582e-22   3.0549554e-22
   1.3869070e+01   3.0731169e-22   2.9624424e-22   3.0283897e-22
   1.3901052e+01   3.0467439e-22   2.9362017e-22   3.0020980e-22
   1.3933108e+01   3.0206428e-22   2.9102346e-22   2.9760790e-22
   1.3965238e+01   2.9948123e-22   2.8845401e-22   2.9503314e-22
   1.3997442e+01   2.9692513e-22   2.8591171e-22   2.9248542e-22
   1.4029720e+01   2.9439586e-22   2.8339645e-22   2.8996462e-22
   1.4062073e+01   2.9189334e-22   2.8090815e-22   2.8747066e-22
   1.4094500e+01   2.8941748e-22   2.7844674e-22   2.8500345e-22
   1.4127002e+01   2.8696820e-22   2.7601214e-22   2.8256293e-22
   1.4159579e+01   2.8454544e-22   2.7360430e-22   2.8014902e-22
   1.4192231e+01   2.8214916e-22   2.7122319e-22   2.7776170e-22
   1.4224959e+01   2.7977930e-22   2.6886878e-22   2.7540091e-22
   1.4257762e+01   2.7743585e-22   2.6654104e-22   2.7306664e-22
   1.4290640e+01   2.7511881e-22   2.6424000e-22   2.7075890e-22
   1.4323594e+01   2.7282817e-22   2.6196566e-22   2.6847769e-22
   1.4356625e+01   2.7056396e-22   2.5971808e-22   2.6622303e-22
   1.4389731e+01   2.6832624e-22   2.5749730e-22   2.6399500e-22
   1.4422914e+01   2.6611506e-22   2.5530341e-22   2.6179364e-22
   1.4456173e+01   2.6393050e-22   2.5313652e-22   2.5961905e-22
   1.4489510e+01   2.6177268e-22   2.5099674e-22   2.5747136e-22
   1.4522922e+01   2.5964173e-22   2.4888423e-22   2.5535069e-22
   1.4556412e+01   2.5753781e-22   2.4679917e-22   2.5325723e-22
   1.4589980e+01   2.5546112e-22   2.4474179e-22   2.5119116e-22
   1.4623624e+01   2.5341187e-22   2.4271233e-22   2.4915273e-22
   1.4657346e+01   2.5139033e-22   2.4071107e-22   2.4714220e-22
   1.4691146e+01   2.4939679e-22   2.3873833e-22   2.4515988e-22
   1.4725024e+01   2.4743160e-22   2.3679450e-22   2.4320612e-22
   1.4758980e+01   2.4549513e-22   2.3487999e-22   2.4128131e-22
   1.4793015e+01   2.4358783e-22   2.3299527e-22   2.3938592e-22
   1.4827127e+01   2.4171019e-22   2.3114088e-22   2.3752044e-22
   1.4861319e+01   2.3986277e-22   2.2931741e-22   2.3568545e-22
   1.4895589e+01   2.3804617e-22   2.2752553e-22   2.3388158e-22
   1.4929939e+01   2.3626111e-22   2.2576599e-22   2.3210956e-22
   1.4964367e+01   2.3450837e-22   2.2403962e-22   2.3037017e-22
   1.4998875e+01   2.3278882e-22   2.2234737e-22   2.2866433e-22
   1.5033463e+01   2.3110343e-22   2.2069027e-22   2.2699304e-22
   1.5068130e+01   2.2945331e-22   2.1906948e-22   2.2535740e-22
   1.5102877e+01   2.2783967e-22   2.1748632e-22   2.2375869e-22
   1.5137704e+01   2.2626389e-22   2.1594223e-22   2.2219828e-22
   1.5172612e+01   2.2472750e-22   2.1443884e-22   2.2067776e-22
   1.5207600e+01   2.2323221e-22   2.1297796e-22   2.1919888e-22
   1.5242669e+01   2.2177996e-22   2.1156164e-22   2.1776360e-22
   1.5277819e+01   2.2037289e-22   2.1019216e-22   2.1637413e-22
   1.5313050e+01   2.1901344e-22   2.0887208e-22   2.1503295e-22
   1.5348362e+01   2.1770434e-22   2.0760428e-22   2.1374284e-22
   1.5383755e+01   2.1644868e-22   2.0639201e-22   2.1250695e-22
   1.5419230e+01   2.1524993e-22   2.0523894e-22   2.1132883e-22
   1.5454787e+01   2.1411203e-22   2.0414921e-22   2.1021249e-22
   1.5490426e+01   2.1303946e-22   2.0312751e-22   2.0916249e-22
   1.5526147e+01   2.1203729e-22   2.0217917e-22   2.0818399e-22
