1	1135239243	1135239843	600
2	1135239843	1135240443	600
3	1135240443	1135241043	600
4	1135241043	1135241643	600
5	1135241643	1135242243	600
6	1135242243	1135242843	600
7	1135242843	1135243443	600
8	1135243443	1135244043	600
9	1135244043	1135244643	600
10	1135244643	1135245243	600
11	1135245243	1135245843	600
12	1135245843	1135246443	600
13	1135246443	1135247043	600
14	1135247043	1135247643	600
15	1135247643	1135248243	600
16	1135248243	1135248843	600
17	1135248843	1135249443	600
18	1135249443	1135250043	600
19	1135250043	1135250643	600
20	1135250643	1135251243	600
21	1135251243	1135251843	600
22	1135251843	1135252443	600
23	1135252443	1135253043	600
24	1135253043	1135253643	600
25	1135253643	1135254243	600
26	1135254243	1135254843	600
27	1135254843	1135255443	600
28	1135255443	1135256043	600
29	1135256043	1135256643	600
30	1135256643	1135257243	600
31	1135257243	1135257843	600
32	1135257843	1135258443	600
33	1135258443	1135259043	600
34	1135259043	1135259643	600
35	1135259643	1135260243	600
36	1135260243	1135260843	600
37	1135260843	1135261443	600
38	1135261443	1135262043	600
39	1135262043	1135262643	600
40	1135262643	1135263243	600
41	1135263243	1135263843	600
42	1135263843	1135264443	600
43	1135264443	1135265043	600
44	1135265043	1135265643	600
45	1135265643	1135266243	600
46	1135266243	1135266843	600
47	1135266843	1135267443	600
48	1135267443	1135268043	600
49	1135268043	1135268643	600
50	1135268643	1135269243	600
51	1135269243	1135269843	600
52	1135269843	1135270443	600
53	1135270443	1135271043	600
54	1135271043	1135271643	600
55	1135271643	1135272243	600
56	1135272243	1135272843	600
57	1135272843	1135273443	600
58	1135273443	1135274043	600
59	1135274043	1135274643	600
60	1135274643	1135275243	600
61	1135275243	1135275843	600
62	1135275843	1135276443	600
63	1135276443	1135277043	600
64	1135277043	1135277643	600
65	1135277643	1135278243	600
66	1135278243	1135278843	600
67	1135278843	1135279443	600
68	1135279443	1135280043	600
69	1135280043	1135280643	600
70	1135280643	1135281243	600
71	1135281243	1135281843	600
72	1135281843	1135282443	600
73	1135282443	1135283043	600
74	1135283043	1135283643	600
75	1135283643	1135284243	600
76	1135284243	1135284843	600
77	1135284843	1135285443	600
78	1135285443	1135286043	600
79	1135286043	1135286643	600
80	1135286643	1135287243	600
81	1135287243	1135287843	600
82	1135287843	1135288443	600
83	1135288443	1135289043	600
84	1135289043	1135289643	600
85	1135289643	1135290243	600
86	1135290243	1135290843	600
87	1135290843	1135291443	600
88	1135291443	1135292043	600
89	1135292043	1135292643	600
90	1135292643	1135293243	600
91	1135293243	1135293843	600
92	1135293843	1135294443	600
93	1135294443	1135295043	600
94	1135295043	1135295643	600
95	1135295643	1135296243	600
96	1135296243	1135296843	600
97	1135296843	1135297443	600
98	1135297443	1135298043	600
99	1135298043	1135298643	600
100	1135298643	1135299243	600
